DELIVERYDOCUMENT,SDDOCUMENTCATEGORY,DELIVERYDOCUMENTTYPE,CREATEDBYUSER,CREATIONDATE,CREATIONTIME,LASTCHANGEDBYUSER,LASTCHANGEDATE,SHIPPINGPOINT,SALESORGANIZATION,SALESOFFICE,COMPLETEDELIVERYISDEFINED,ORDERCOMBINATIONISALLOWED,DELIVERYPRIORITY,DELIVERYBLOCKREASON,SUPPLIER,DELIVERYDOCUMENTBYSUPPLIER,DELIVERYISINPLANT,RECEIVINGPLANT,WAREHOUSE,ISEXPORTDELIVERY,ORDERID,HEADERGROSSWEIGHT,HEADERNETWEIGHT,HEADERWEIGHTUNIT,HEADERVOLUME,HEADERVOLUMEUNIT,ISDELIVERYFORSINGLEWAREHOUSE,GOODSISSUEORRECEIPTSLIPNUMBER,WAREHOUSEGATE,WAREHOUSESTAGINGAREA,MEANSOFTRANSPORTREFMATERIAL,SPECIALPROCESSINGCODE,EXTERNALIDENTIFICATIONTYPE,DELIVERYVERSION,PICKEDITEMSLOCATION,DOCUMENTDATE,PICKINGDATE,PICKINGTIME,TOTALNUMBEROFPACKAGE,LOADINGPOINT,LOADINGDATE,LOADINGTIME,BILLOFLADING,HANDLINGUNITINSTOCK,SHIPTOPARTY,SHIPPINGTYPE,DELIVERYDATE,DELIVERYTIME,SHIPPINGCONDITION,SHIPMENTBLOCKREASON,TRANSPORTATIONPLANNINGDATE,TRANSPORTATIONPLANNINGTIME,PROPOSEDDELIVERYROUTE,ACTUALDELIVERYROUTE,ROUTESCHEDULE,PLANNEDGOODSISSUEDATE,GOODSISSUETIME,ACTUALGOODSMOVEMENTDATE,ACTUALGOODSMOVEMENTTIME,INCOTERMSCLASSIFICATION,INCOTERMSTRANSFERLOCATION,EXTERNALTRANSPORTSYSTEM,TRANSPORTATIONGROUP,MEANSOFTRANSPORT,MEANSOFTRANSPORTTYPE,UNLOADINGPOINTNAME,PROOFOFDELIVERYDATE,CONFIRMATIONTIME,FACTORYCALENDARBYCUSTOMER,SHIPPINGLOCATIONTIMEZONE,RECEIVINGLOCATIONTIMEZONE,INTERCOMPANYBILLINGDATE,BILLINGDOCUMENTDATE,HEADERBILLINGBLOCKREASON,INTERNALFINANCIALDOCUMENT,PAYMENTGUARANTEEPROCEDURE,DEPRECIATIONPERCENTAGE,NEXTSHIPPINGDATE,CUSTOMERCREDITACCOUNT,CENTRALCREDITCHKTECHERRSTS,RELEASEDCREDITAMOUNT,CONTROLLINGAREACURRENCY,CREDITBLOCKRELEASEDATE,SOLDTOPARTY,CUSTOMERGROUP,SALESDISTRICT,TRANSACTIONCURRENCY,STATISTICSCURRENCY,OVERALLINTCOBILLINGSTATUS,OVERALLSDPROCESSSTATUS,TOTALBLOCKSTATUS,OVERALLDELIVCONFSTATUS,TRANSPORTATIONPLANNINGSTATUS,OVERALLPICKINGCONFSTATUS,OVERALLPICKINGSTATUS,OVERALLPACKINGSTATUS,OVERALLWAREHOUSEACTIVITYSTATUS,DISTRSTATUSBYDECENTRALIZEDWRHS,OVERALLGOODSMOVEMENTSTATUS,OVERALLDELIVRELTDBILLGSTATUS,OVERALLPROOFOFDELIVERYSTATUS,HDRGENERALINCOMPLETIONSTATUS,HEADERDELIVINCOMPLETIONSTATUS,HEADERPICKGINCOMPLETIONSTATUS,HEADERPACKINGINCOMPLETIONSTS,HDRGOODSMVTINCOMPLETIONSTATUS,HEADERBILLGINCOMPLETIONSTATUS,OVRLITMGENERALINCOMPLETIONSTS,OVRLITMPACKINGINCOMPLETIONSTS,OVRLITMPICKINGINCOMPLETIONSTS,OVRLITMDELIVINCOMPLETIONSTS,OVRLITMGDSMVTINCOMPLETIONSTS,TOTALCREDITCHECKSTATUS,FINDOCCREDITCHECKSTATUS,PAYTAUTHSNCREDITCHECKSTS,CENTRALCREDITCHECKSTATUS,EXPRTINSURCREDITCHECKSTATUS,MAXDOCVALUECREDITCHECKSTATUS,PAYMENTTERMCREDITCHECKSTATUS,SHIPPINGGROUPNUMBER,PRICINGDOCUMENT,SALESORGFORINTCOBILLING,DISTRCHNLFORINTCOBILLING,DIVISIONFORINTCOBILLING,INTERCOMPANYBILLINGTYPE,FACTORYCALENDARFORINTCOBILLING,INTERCOMPANYBILLINGCUSTOMER,DELIVERYDOCUMENTCONDITION,TOTALNETAMOUNT,REFERENCEDOCUMENTNUMBER,DELETIONINDICATOR,OVERALLCHMLCMPLNCSTATUS,OVERALLDANGEROUSGOODSSTATUS,OVERALLSAFETYDATASHEETSTATUS,ISCORRECTIONDELIVERY,READYFORWAREHOUSEEXECSTATUS,DELIVADVNCDSHIPGRCVGRLVNCE,EU_DELIVERYARCSTATUS,INTCOEXTACTLTRANSFOFCTRLDTETME,INTCOEXTPLNDTRANSFOFCTRLDTETME,INTCOEXTTRANSFOFCTRLDTETMETMZN,INTCOINTACTLTRANSFOFCTRLDTETME,INTCOINTPLNDTRANSFOFCTRLDTETME,INTCOINTTRANSFOFCTRLDTETMETMZN,OPERATION,LAST_UPDATE_DATE
0080000024,J,ZLF,UGP2306,2022-08-22,06:26:31.000,UGP2306,2022-08-22,AU30,AU01,,,X,0,,,,,,,,,8.000,8.000,KGM,8.000,MTQ,,,,,,,,2,,2022-08-22,2022-08-22,00:00:00.000,0,,2022-08-25,00:00:00.000,,,0010000071,,2022-08-26,00:00:00.000,01,,2022-08-25,00:00:00.000,,,,2022-08-25,00:00:00.000,,00:00:00.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-26,,,000002,0.00,,,,0.00,AUD,,0010000071,84,,AUD,AUD,,A,,,C,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0180000011,7,EL,PRA4358,2022-08-24,08:51:24.000,PRA4358,2022-08-24,1710,,,,X,0,,0010000006,,X,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,3,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000012,7,EL,PRA4358,2022-08-24,09:08:27.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000013,7,EL,PRA4358,2022-08-24,09:09:36.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000014,7,EL,PRA4358,2022-08-24,09:10:13.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000015,7,EL,PRA4358,2022-08-24,09:10:33.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000016,7,EL,PRA4358,2022-08-24,09:11:08.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-24,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-24,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000017,7,EL,ANG0661,2022-08-26,03:34:04.000,TDL1447,2022-08-26,1710,,,,X,0,,0010000009,,,,,X,,10.000,10.000,KGM,0.000,,,,,,,,,3,,2022-08-26,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-26,00:00:00.000,Y4,,,00:00:00.000,,,,2022-08-26,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,C,,A,,,,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000018,7,EL,ANG0661,2022-08-30,03:05:33.000,ANG0661,2022-08-30,1710,,,,X,0,,0010000007,,,,,X,,1000.000,1000.000,KGM,0.000,,,,,,,,,2,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-09-02,00:00:00.000,01,,,00:00:00.000,,,,,00:00:00.000,,00:00:00.000,DDP,Delivered Duty Paid,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,A,,,,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000025,J,ZLF,UGP2306,2022-08-30,08:06:04.000,UGP2306,2022-08-30,AU30,AU01,,,,0,,,,,,,,,2.000,2.000,KGM,2.000,MTQ,,,,,,,,6,,2022-08-30,2022-07-25,00:00:00.000,0,,2022-07-28,00:00:00.000,,,0010000002,,2022-07-30,00:00:00.000,01,,2022-07-28,00:00:00.000,,,,2022-07-28,00:00:00.000,,00:00:00.000,EXW,Melb,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-07-29,,,000002,0.00,,,,0.00,AUD,,0010000002,,,AUD,AUD,,A,,,C,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0080000027,J,ZLF,UGP2306,2022-08-30,08:21:28.000,UGP2306,2022-08-30,AU30,AU01,,,X,0,,,,,,,,,8.000,8.000,KGM,8.000,MTQ,,,,,,,,7,,2022-08-30,2022-08-18,00:00:00.000,0,,2022-07-28,00:00:00.000,,,0010000071,,2022-07-31,00:00:00.000,01,,2022-07-28,00:00:00.000,,,,2022-07-28,00:00:00.000,,00:00:00.000,FOB,South Wales,,,,,,,00:00:00.000,,AUSVIC,AUSNSW,,2022-08-24,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,A,,,C,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0080000023,J,ZLF,UGP2306,2022-08-19,01:50:42.000,UGP2306,2022-08-30,AU30,AU01,,,,0,,,,,,,,,20.000,20.000,KGM,20.000,MTQ,,,,,,,,3,,2022-08-19,2022-08-29,00:00:00.000,0,,2022-08-29,00:00:00.000,,,0010000002,,2022-08-30,14:00:00.000,01,,2022-08-29,00:00:00.000,,,,2022-08-29,00:00:00.000,,00:00:00.000,EXW,Melb,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-29,,,000002,0.00,,,,0.00,AUD,,0010000002,,,AUD,AUD,,A,,,A,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0080000009,J,LF,UGP2306,2022-07-22,08:17:59.000,NWT7134,2022-08-30,AU30,AU01,,,,0,,,,,,,,,4.000,4.000,KGM,4.000,MTQ,,,,,,,,3,,2022-07-22,2022-07-25,00:00:00.000,0,,2022-07-28,00:00:00.000,,,0010000002,,2022-07-31,00:00:00.000,01,,2022-07-28,00:00:00.000,,,,2022-07-28,00:00:00.000,,00:00:00.000,EXW,Melb,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-07-29,,,000002,0.00,,,,0.00,AUD,,0010000002,,,AUD,AUD,,A,,,C,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,IV,,,0000000024,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0180000019,7,EL,PRA4358,2022-08-30,11:33:34.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-30,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000020,7,EL,PRA4358,2022-08-30,11:33:50.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-30,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000021,7,EL,PRA4358,2022-08-30,11:34:03.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-30,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000022,7,EL,PRA4358,2022-08-30,11:34:13.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-30,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000023,7,EL,PRA4358,2022-08-30,11:34:24.000,,,1710,,,,X,0,,0010000006,,,,A03,,,10.000,10.000,KGM,0.000,,A,,,,,,,1,,2022-08-30,,00:00:00.000,0,,,00:00:00.000,,,,,2022-08-30,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
