DELIVERYDOCUMENT,SDDOCUMENTCATEGORY,DELIVERYDOCUMENTTYPE,CREATEDBYUSER,CREATIONDATE,CREATIONTIME,LASTCHANGEDBYUSER,LASTCHANGEDATE,SHIPPINGPOINT,SALESORGANIZATION,SALESOFFICE,COMPLETEDELIVERYISDEFINED,ORDERCOMBINATIONISALLOWED,DELIVERYPRIORITY,DELIVERYBLOCKREASON,SUPPLIER,DELIVERYDOCUMENTBYSUPPLIER,DELIVERYISINPLANT,RECEIVINGPLANT,WAREHOUSE,ISEXPORTDELIVERY,ORDERID,HEADERGROSSWEIGHT,HEADERNETWEIGHT,HEADERWEIGHTUNIT,HEADERVOLUME,HEADERVOLUMEUNIT,ISDELIVERYFORSINGLEWAREHOUSE,GOODSISSUEORRECEIPTSLIPNUMBER,WAREHOUSEGATE,WAREHOUSESTAGINGAREA,MEANSOFTRANSPORTREFMATERIAL,SPECIALPROCESSINGCODE,EXTERNALIDENTIFICATIONTYPE,DELIVERYVERSION,PICKEDITEMSLOCATION,DOCUMENTDATE,PICKINGDATE,PICKINGTIME,TOTALNUMBEROFPACKAGE,LOADINGPOINT,LOADINGDATE,LOADINGTIME,BILLOFLADING,HANDLINGUNITINSTOCK,SHIPTOPARTY,SHIPPINGTYPE,DELIVERYDATE,DELIVERYTIME,SHIPPINGCONDITION,SHIPMENTBLOCKREASON,TRANSPORTATIONPLANNINGDATE,TRANSPORTATIONPLANNINGTIME,PROPOSEDDELIVERYROUTE,ACTUALDELIVERYROUTE,ROUTESCHEDULE,PLANNEDGOODSISSUEDATE,GOODSISSUETIME,ACTUALGOODSMOVEMENTDATE,ACTUALGOODSMOVEMENTTIME,INCOTERMSCLASSIFICATION,INCOTERMSTRANSFERLOCATION,EXTERNALTRANSPORTSYSTEM,TRANSPORTATIONGROUP,MEANSOFTRANSPORT,MEANSOFTRANSPORTTYPE,UNLOADINGPOINTNAME,PROOFOFDELIVERYDATE,CONFIRMATIONTIME,FACTORYCALENDARBYCUSTOMER,SHIPPINGLOCATIONTIMEZONE,RECEIVINGLOCATIONTIMEZONE,INTERCOMPANYBILLINGDATE,BILLINGDOCUMENTDATE,HEADERBILLINGBLOCKREASON,INTERNALFINANCIALDOCUMENT,PAYMENTGUARANTEEPROCEDURE,DEPRECIATIONPERCENTAGE,NEXTSHIPPINGDATE,CUSTOMERCREDITACCOUNT,CENTRALCREDITCHKTECHERRSTS,RELEASEDCREDITAMOUNT,CONTROLLINGAREACURRENCY,CREDITBLOCKRELEASEDATE,SOLDTOPARTY,CUSTOMERGROUP,SALESDISTRICT,TRANSACTIONCURRENCY,STATISTICSCURRENCY,OVERALLINTCOBILLINGSTATUS,OVERALLSDPROCESSSTATUS,TOTALBLOCKSTATUS,OVERALLDELIVCONFSTATUS,TRANSPORTATIONPLANNINGSTATUS,OVERALLPICKINGCONFSTATUS,OVERALLPICKINGSTATUS,OVERALLPACKINGSTATUS,OVERALLWAREHOUSEACTIVITYSTATUS,DISTRSTATUSBYDECENTRALIZEDWRHS,OVERALLGOODSMOVEMENTSTATUS,OVERALLDELIVRELTDBILLGSTATUS,OVERALLPROOFOFDELIVERYSTATUS,HDRGENERALINCOMPLETIONSTATUS,HEADERDELIVINCOMPLETIONSTATUS,HEADERPICKGINCOMPLETIONSTATUS,HEADERPACKINGINCOMPLETIONSTS,HDRGOODSMVTINCOMPLETIONSTATUS,HEADERBILLGINCOMPLETIONSTATUS,OVRLITMGENERALINCOMPLETIONSTS,OVRLITMPACKINGINCOMPLETIONSTS,OVRLITMPICKINGINCOMPLETIONSTS,OVRLITMDELIVINCOMPLETIONSTS,OVRLITMGDSMVTINCOMPLETIONSTS,TOTALCREDITCHECKSTATUS,FINDOCCREDITCHECKSTATUS,PAYTAUTHSNCREDITCHECKSTS,CENTRALCREDITCHECKSTATUS,EXPRTINSURCREDITCHECKSTATUS,MAXDOCVALUECREDITCHECKSTATUS,PAYMENTTERMCREDITCHECKSTATUS,SHIPPINGGROUPNUMBER,PRICINGDOCUMENT,SALESORGFORINTCOBILLING,DISTRCHNLFORINTCOBILLING,DIVISIONFORINTCOBILLING,INTERCOMPANYBILLINGTYPE,FACTORYCALENDARFORINTCOBILLING,INTERCOMPANYBILLINGCUSTOMER,DELIVERYDOCUMENTCONDITION,TOTALNETAMOUNT,REFERENCEDOCUMENTNUMBER,DELETIONINDICATOR,OVERALLCHMLCMPLNCSTATUS,OVERALLDANGEROUSGOODSSTATUS,OVERALLSAFETYDATASHEETSTATUS,ISCORRECTIONDELIVERY,READYFORWAREHOUSEEXECSTATUS,DELIVADVNCDSHIPGRCVGRLVNCE,EU_DELIVERYARCSTATUS,INTCOEXTACTLTRANSFOFCTRLDTETME,INTCOEXTPLNDTRANSFOFCTRLDTETME,INTCOEXTTRANSFOFCTRLDTETMETMZN,INTCOINTACTLTRANSFOFCTRLDTETME,INTCOINTPLNDTRANSFOFCTRLDTETME,INTCOINTTRANSFOFCTRLDTETMETMZN,OPERATION,LAST_UPDATE_DATE
0080000017,J,ZLF,WNG6068,2022-08-17,03:56:29.000,,,AU30,AU01,,,X,0,,,,,,,,,8.000,8.000,KGM,8.000,MTQ,,,,,,,,1,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-22,00:00:00.000,,,0010000071,,2022-08-23,00:00:00.000,ZS,,2022-08-22,00:00:00.000,,,,2022-08-23,00:00:00.000,2022-08-17,13:59:39.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,B,,,,,C,,,,C,A,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000018,J,ZLF,WNG6068,2022-08-17,04:09:52.000,,,AU30,AU01,,,X,0,,,,,,,,,40.000,40.000,KGM,40.000,MTQ,,,,,,,,1,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-22,00:00:00.000,,,0010000071,,2022-08-23,00:00:00.000,ZS,,2022-08-22,00:00:00.000,,,,2022-08-23,00:00:00.000,2022-08-17,14:10:02.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,C,,,,C,C,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0084000000,T,ZLR2,WNG6068,2022-08-17,05:49:31.000,WNG6068,2022-08-17,AU30,AU01,,,X,0,,,,,,,,,40.000,40.000,KGM,40.000,MTQ,,,,,,,,2,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-17,00:00:00.000,,,0010000071,,2022-08-17,00:00:00.000,RE,,2022-08-17,00:00:00.000,,,,2022-08-17,00:00:00.000,2022-08-17,15:49:41.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,,,,,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,IG,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000019,J,ZLF,WNG6068,2022-08-17,06:13:46.000,,,AU30,AU01,,,X,0,,,,,,,,,16.000,16.000,KGM,16.000,MTQ,,,,,,,,1,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-22,00:00:00.000,,,0010000071,,2022-08-23,00:00:00.000,ZS,,2022-08-22,00:00:00.000,,,,2022-08-23,00:00:00.000,2022-08-17,16:14:09.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,C,,,,C,C,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0084000001,T,ZLR2,WNG6068,2022-08-17,06:17:15.000,WNG6068,2022-08-17,AU30,AU01,,,X,0,,,,,,,,,16.000,16.000,KGM,16.000,MTQ,,,,,,,,2,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-17,00:00:00.000,,,0010000071,,2022-08-17,00:00:00.000,RE,,2022-08-17,00:00:00.000,,,,2022-08-17,00:00:00.000,2022-08-17,16:17:17.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,,,,,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,IG,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000020,J,ZLF,WNG6068,2022-08-17,06:59:29.000,,,AU30,AU01,,,X,0,,,,,,,,,8.000,8.000,KGM,8.000,MTQ,,,,,,,,1,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-22,00:00:00.000,,,0010000071,,2022-08-23,00:00:00.000,ZS,,2022-08-22,00:00:00.000,,,,2022-08-23,00:00:00.000,2022-08-17,16:59:42.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,C,,,,C,C,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0084000002,T,ZLR2,WNG6068,2022-08-17,07:01:51.000,WNG6068,2022-08-17,AU30,AU01,,,X,0,,,,,,,,,8.000,8.000,KGM,8.000,MTQ,,,,,,,,2,,2022-08-17,2022-08-17,00:00:00.000,0,,2022-08-17,00:00:00.000,,,0010000071,,2022-08-17,00:00:00.000,RE,,2022-08-17,00:00:00.000,,,,2022-08-17,00:00:00.000,2022-08-17,17:01:54.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-17,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,,,,,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,IG,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000021,J,ZLF,WNG6068,2022-08-17,23:32:51.000,,,AU30,AU01,,,X,0,,,,,,,,,24.000,24.000,KGM,24.000,MTQ,,,,,,,,1,,2022-08-18,2022-08-18,00:00:00.000,0,,2022-08-23,00:00:00.000,,,0010000071,,2022-08-24,00:00:00.000,ZS,,2022-08-23,00:00:00.000,,,,2022-08-24,00:00:00.000,2022-08-18,09:33:05.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-18,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,B,,,,,C,,,,C,A,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000022,J,ZLF,WNG6068,2022-08-17,23:35:55.000,,,AU30,AU01,,,X,0,,,,,,,,,16.000,16.000,KGM,16.000,MTQ,,,,,,,,1,,2022-08-18,2022-08-18,00:00:00.000,0,,2022-08-23,00:00:00.000,,,0010000071,,2022-08-24,00:00:00.000,ZS,,2022-08-23,00:00:00.000,,,,2022-08-24,00:00:00.000,2022-08-18,09:36:05.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-18,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,C,,,,C,C,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0084000003,T,ZLR2,WNG6068,2022-08-17,23:38:26.000,WNG6068,2022-08-17,AU30,AU01,,,X,0,,,,,,,,,16.000,16.000,KGM,16.000,MTQ,,,,,,,,2,,2022-08-18,2022-08-18,00:00:00.000,0,,2022-08-18,00:00:00.000,,,0010000071,,2022-08-18,00:00:00.000,RE,,2022-08-18,00:00:00.000,,,,2022-08-18,00:00:00.000,2022-08-18,09:38:29.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-18,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,,,,,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,IG,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
